Pulau;Provinsi
Sumatra;ACEH
Bali dan Nusa Tenggara;BALI
Jawa;BANTEN
Sumatra;BENGKULU
Jawa;DAERAH ISTIMEWA YOGYAKARTA
Jawa;DKI JAKARTA
Sulawesi;GORONTALO
Sumatra;JAMBI
Jawa;JAWA BARAT
Jawa;JAWA TENGAH
Jawa;JAWA TIMUR
Kalimantan;KALIMANTAN BARAT
Kalimantan;KALIMANTAN SELATAN
Kalimantan;KALIMANTAN TENGAH
Kalimantan;KALIMANTAN TIMUR
Kalimantan;KALIMANTAN UTARA
Sumatra;KEPULAUAN BANGKA BELITUNG
Sumatra;KEPULAUAN RIAU
Sumatra;LAMPUNG
Maluku dan Papua;MALUKU
Maluku dan Papua;MALUKU UTARA
Bali dan Nusa Tenggara;NUSA TENGGARA BARAT
Bali dan Nusa Tenggara;NUSA TENGGARA TIMUR
Maluku dan Papua;PAPUA
Maluku dan Papua;PAPUA BARAT
Sumatra;RIAU
Sulawesi;SULAWESI BARAT
Sulawesi;SULAWESI SELATAN
Sulawesi;SULAWESI TENGAH
Sulawesi;SULAWESI TENGGARA
Sulawesi;SULAWESI UTARA
Sumatra;SUMATRA BARAT
Sumatra;SUMATRA SELATAN
Sumatra;SUMATRA UTARA
